gender,annual_salary
F,107346.0
M,128132.42
F,85430.13
F,65163.92
F,133283.71
M,109492.92
F,100814.56
F,120842.43
F,74548.75
F,88761.65
F,112566.0
F,111102.93
F,111102.93
F,74548.75
F,109492.92
F,82974.79
F,141566.0
F,62946.39
F,75105.66
F,93140.0
F,141566.0
M,138790.0
F,74548.75
M,107345.82
M,163663.0
F,135109.95
F,97655.0
F,107346.0
F,72379.13
F,88849.14
F,82662.65
F,95988.87
F,74548.75
F,127512.97
F,77166.0
M,148348.8
M,107346.0
F,112566.0
F,82662.65
F,123799.0
M,129412.52
F,99608.1
F,176112.89
F,121334.7
F,141566.0
F,77166.0
F,155034.49
F,97655.0
F,86380.53
F,88849.0
M,183095.8
M,70123.14
F,84882.67
F,109492.92
M,72379.13
F,107346.0
F,73633.0
F,139633.21
F,74548.75
F,96741.46
F,77135.46
F,66230.03
F,70271.0
F,37274.37
M,183113.0
F,108398.23
M,91514.47
M,107346.0
F,61763.38
F,97655.0
M,123799.0
M,163663.0
M,107346.0
F,74548.75
M,141566.0
M,97655.0
F,74548.75
F,100947.01
F,215406.97
F,90625.98
F,55260.89
F,70271.0
M,76918.77
F,108206.86
F,109492.92
F,90625.98
M,131743.15
F,104633.65
M,140170.21
F,129809.4
F,140915.6
F,100494.3
M,166787.0
F,107346.0
F,176748.0
F,215312.96
M,143140.47
F,107346.0
M,156418.89
F,141566.0
F,107346.0
F,68771.46
F,101995.96
M,70959.79
F,74548.75
F,74548.75
M,95451.51
F,74548.75
F,138790.0
F,109492.92
F,141386.81
F,75105.66
M,146103.78
F,77166.0
F,124248.31
F,141566.0
F,183113.0
F,65665.4
F,72475.02
F,183095.93
F,107346.0
M,107345.82
M,139879.64
F,108356.1
F,94257.68
F,75105.66
F,107345.82
F,67062.87
F,99085.2
F,99608.1
M,107346.0
F,163663.0
M,141566.0
M,123799.0
M,118047.0
F,69215.25
M,136285.48
F,107346.0
M,123799.0
M,57384.39
M,163663.0
F,74548.75
M,131335.26
F,88849.0
F,93065.42
F,107346.0
M,123799.44
M,80871.0
F,97655.0
F,102214.82
F,141554.86
M,141566.0
M,141566.0
F,109492.92
M,126377.96
M,123799.0
M,123799.0
F,182492.0
F,133514.0
M,131335.26
M,119005.07
F,52703.25
F,87107.0
F,73262.91
F,107346.0
F,163614.57
M,141566.0
M,141566.0
F,95740.0
F,141566.0
F,74548.75
M,107346.0
F,65457.41
F,109492.92
F,107345.82
F,107315.07
F,107346.0
M,141566.0
F,77922.59
M,123563.69
F,141076.09
F,109492.92
M,163663.0
F,102983.5
F,72379.13
M,96259.68
F,73086.86
M,86564.5
F,64833.25
F,74548.75
F,155722.6
M,107346.0
F,118047.0
F,103599.75
F,109492.92
F,88643.01
M,99608.1
F,63274.63
F,61113.0
M,123799.0
F,107346.0
F,163663.0
M,52613.24
F,61113.0
F,76500.0
F,122815.72
F,71961.53
F,77166.0
M,79979.42
F,156311.94
M,77345.67
F,123799.0
F,77166.0
F,69925.56
M,91040.6
F,69373.54
F,109492.92
F,97655.0
F,141566.0
F,78709.32
F,109492.92
M,141201.87
M,155966.0
F,103599.75
F,107346.0
F,107346.0
M,109492.92
F,64833.25
F,77166.0
F,95740.0
F,113324.99
F,78709.32
F,109492.92
F,62946.39
F,81863.48
F,77166.0
F,107346.0
M,160454.0
F,107346.0
F,72379.13
M,138787.5
F,73086.86
F,163663.0
F,47128.84
F,104610.55
M,50292.33
F,97655.0
F,76781.43
F,126580.82
F,73633.0
M,139119.0
F,74548.75
M,233003.0
F,183113.0
F,107237.55
F,141566.0
F,74548.75
F,112566.0
M,94257.68
F,127068.61
M,115942.98
M,113880.69
M,141566.0
F,89720.21
F,141197.07
M,94257.68
F,81863.48
M,122777.7
F,87304.86
F,163663.0
M,155966.0
F,88849.0
M,163663.0
M,110566.38
F,141566.0
F,140966.51
F,141566.0
F,112566.0
F,107346.0
F,107346.0
M,210143.0
F,130119.86
M,78127.38
M,163663.0
F,78505.19
F,95740.0
F,131335.26
F,77166.0
F,179523.0
F,122178.27
F,74548.75
F,83534.0
F,109492.92
F,112566.0
F,87161.23
M,123799.0
F,97655.0
F,86481.71
F,86481.71
M,109492.92
F,139299.55
F,70271.0
M,162918.66
F,82391.83
F,74548.75
F,105241.0
F,109492.92
M,183113.0
F,64168.21
F,90034.19
M,118046.64
M,127512.97
M,127512.97
F,105523.31
F,38899.95
M,179523.0
F,187538.83
F,88849.0
F,140471.7
M,123799.0
F,107346.0
F,88849.0
F,141566.0
F,194690.16
F,161280.0
F,74548.75
F,74548.75
F,79480.98
M,200000.0
M,91514.47
M,110566.38
F,99608.1
M,123799.0
M,89921.89
M,107346.0
M,194601.95
M,136184.0
M,110566.38
F,74548.75
F,70271.0
M,77166.0
F,123799.0
F,111102.93
M,122213.22
F,94257.68
M,97655.0
M,109492.92
M,123799.0
F,107345.82
F,69288.51
M,109492.92
F,75841.99
M,110175.66
F,95740.0
F,141566.0
M,123799.0
M,139818.7
M,91514.47
M,223492.8
M,78115.41
F,135536.21
F,92599.27
F,70959.79
F,123799.0
M,163663.0
F,74548.75
M,116230.55
F,137868.64
F,96135.0
M,124132.04
F,141566.0
M,107346.0
F,85755.67
F,125448.18
F,107346.0
M,60686.0
M,75545.6
M,177125.34
M,78206.25
F,64929.74
M,150159.3
M,109492.92
M,163657.5
M,66073.53
F,72999.91
M,104414.43
M,162881.64
F,118047.0
F,99608.1
F,82753.75
F,62946.39
F,107346.0
M,183113.0
F,123799.0
F,107346.0
F,107346.0
F,113880.69
F,90772.74
F,113880.69
F,141566.0
F,114817.32
M,163663.0
F,81863.48
M,163663.0
M,141566.0
M,107346.0
F,163663.0
M,147214.56
F,126274.98
M,176393.26
M,163663.0
F,136412.35
F,161958.22
M,121579.34
F,136395.33
M,206000.0
F,77166.0
F,96204.06
F,141352.76
F,141352.76
M,109492.92
M,107346.0
M,183113.0
F,94688.76
M,91514.47
F,72379.13
F,102830.85
F,79480.98
F,93140.0
F,107346.0
F,100610.82
F,109492.92
F,72379.13
F,73679.28
F,87107.0
F,97655.0
F,74548.75
F,88849.0
F,105241.0
F,70693.26
M,141487.57
F,74548.75
F,81863.48
M,104994.06
F,105241.0
F,196395.6
M,140953.19
F,97655.0
F,97080.97
F,109492.92
F,99608.1
M,107346.0
M,160454.0
F,73633.0
M,100584.65
F,74548.75
F,119418.46
F,74548.75
M,160018.06
F,90625.98
F,87107.0
M,118047.0
F,91514.47
